Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1978,3,356.389373779297,29.3301858600512,-8.02069854736328,0,1,-1.5806184885132,352.546502378634,1.18501461474301,356.389373779297,29.3301858600512,-8.02069854736328,0,1,-1.80566867191125,352.709584732503,1.22494183855243,0.194497391583006,350.446563720703,6.19207906723022,0.431894451379776,0,0,2.17705936055742,348.15325572531,0.932257732464077
1978,6,357.706634521484,33.4647304530926,-6.97697687149048,0,1,-1.27035687685288,353.759208417891,1.1639264993873,357.706634521484,33.4647304530926,-6.97697687149048,0,1,-1.50508964606373,353.930530526313,1.20028879667275,0.202012915602404,354.237670898438,6.84202527999878,1.09146618843079,0,0,2.20586292955098,349.489768400345,0.968280865337881
1978,9,359.002685546875,30.874391695225,-3.29904770851135,0,1,-0.942629249632527,354.951298294055,1.1452691147715,359.002685546875,30.874391695225,-3.29904770851135,0,1,-1.19515891304352,355.125930376751,1.17785518000292,0.201408382291068,355.238464355469,6.80454158782959,1.88469922542572,0,0,2.19247740915331,350.270836478242,0.965383238539712
1978,12,360.245666503906,27.9258610172084,-3.32825922966003,0,1,-0.619332004867526,356.127434843605,1.12950922405189,360.245666503906,27.9258610172084,-3.32825922966003,0,1,-0.896167613334405,356.304701419421,1.15951227128003,0.202663672906398,356.574554443359,7.11619281768799,3.17512392997742,0,0,2.18817467642661,351.257726524383,0.971400051274868
1979,3,361.289123535156,33.531856951539,-5.67918682098389,0,1,-0.322237889642856,357.289876072576,1.11599254270357,361.289123535156,33.531856951539,-5.67918682098389,0,1,-0.65158051126452,357.466368001078,1.14296514410944,0.202302594181717,356.752899169922,5.42757225036621,3.45447134971619,0,0,2.17622701684969,352.070196752453,0.969669342033103
1979,6,362.782409667969,36.4444390265528,-6.52792358398438,0,1,-0.0661393744356471,358.441521843811,1.10422087122621,362.782409667969,36.4444390265528,-6.52792358398438,0,1,-0.476794317177824,358.61461215853,1.1281682903522,0.203438709969234,356.860595703125,8.69945430755615,3.40047931671143,0,0,2.17258867001573,352.919534314884,0.975114930373728
1979,9,364.641998291016,40.3818091650766,-7.63018083572388,0,1,0.148751429797066,359.579850192175,1.0931605698204,364.641998291016,40.3818091650766,-7.63018083572388,0,1,-0.373794309775656,359.747125797443,1.11369571207363,0.205353373646497,357.600280761719,7.31444835662842,4.1434383392334,0,0,2.17246667915667,353.889083781895,0.984292225779439
1979,12,366.783721923828,44.9514092124679,-7.53659820556641,0,1,0.332907201099239,360.706561815208,1.08416809225884,366.783721923828,44.9514092124679,-7.53659820556641,0,1,-0.327622933937537,360.86411306573,1.10060878339493,0.206114340824971,357.849273681641,8.25732040405273,6.22476148605347,0,0,2.16658258719998,354.765963270851,0.987939665626883
1980,3,369.473480224609,44.5328036954428,-7.53098821640015,0,1,0.471315153727662,361.827960643872,1.07855921487972,369.473480224609,44.5328036954428,-7.53098821640015,0,1,-0.345121282229372,361.971579899446,1.09065198972515,0.207447071737652,358.164428710938,9.66786766052246,7.54290056228638,0,0,2.16374375443794,355.784670093776,0.994327662342563
1980,6,372.219055175781,44.4072326193698,-24.4194526672363,0,1,0.54208229698977,362.952431206137,1.07565305621438,372.219055175781,44.4072326193698,-24.4194526672363,0,1,-0.445004567706006,363.075288009432,1.08306709362548,0.207333651485839,356.08203125,8.8497486114502,4.79822158813477,0,0,2.15696707110717,356.402242694325,0.993784020569733
