Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home
1999,3,381.323760986328,-0.38415464758873,1.78263473510742,1,0,-0.849399074949232,385.96828603851,-0.117904778904049
1999,6,381.717254638672,-3.81671214103699,-0.534112155437469,1,0,-0.685614724737548,385.953504589099,0.014331815475063
1999,9,385.107269287109,1.26131081581116,-0.823924422264099,1,0,-0.53284783253701,386.299159512756,0.147217574188858
1999,12,385.721466064453,2.57177448272705,-0.560855567455292,1,0,-0.442959973709214,386.454329190563,0.227186160499132
2000,3,387.745147705078,3.7762348651886,-0.286175161600113,1,0,-0.344270896578036,386.931177530746,0.322523330103191
2000,6,387.559265136719,0.0783917307853699,-1.41829442977905,0,0,-0.27820969139921,387.150456506765,0.383436855506675
2000,9,387.614959716797,3.32531809806824,-1.14787650108337,0,0,-0.136906623814838,387.551211428598,0.498620159085617
2000,12,388.454345703125,0.760862588882446,-1.2502179145813,0,0,0.0512798767527529,388.21281277174,0.64803691762174
2001,3,389.868560791016,2.34330630302429,-0.39593693614006,0,0,0.23925564438934,389.140864244198,0.798025698729049
2001,6,391.077575683594,4.02371072769165,0.244453698396683,0,0,0.396248583900762,390.165812080979,0.920002369427387
2001,9,391.364654541016,-0.23556387424469,0.348715245723724,0,0,0.558369297282167,391.073905279904,1.03136638589814
2001,12,392.563995361328,-2.44657373428345,-0.128295570611954,0,0,0.782540689028156,392.354203372389,1.18864753929081
2002,3,394.260620117188,0.580225169658661,0.542603671550751,0,0,0.990151084482299,393.794961977923,1.33075007888552
2002,6,397.115295410156,2.86795973777771,0.954718828201294,0,0,1.14274303054447,395.652068325637,1.44160770627362
2002,9,398.213226318359,-0.371125847101212,0.703464388847351,0,0,1.1796259811689,397.077804020528,1.45222638961569
2002,12,399.091400146484,2.34405040740967,1.31365787982941,0,0,1.25501347305935,398.482352480958,1.4869992482776
2003,3,401.572570800781,3.39135932922363,0.436920285224915,0,0,1.34512175461194,400.371387532226,1.54626906895228
2003,6,403.177947998047,1.88665044307709,0.156445190310478,0,0,1.32947778982996,401.950626849047,1.52067245868518
2003,9,404.97705078125,1.19902312755585,-0.118038728833199,0,0,1.29696040306625,403.526908678773,1.48636484217544
2003,12,406.597259521484,1.621453166008,-0.232409566640854,0,0,1.23966755986972,405.002048965824,1.43547003260787
2004,3,407.878540039062,4.70447397232056,-0.140726163983345,0,0,1.18240260349254,406.350705804406,1.38451798342837
2004,6,409.410339355469,4.768235206604,0.0852925106883049,0,0,1.14324291135297,407.763422747783,1.35156968757437
2004,9,410.532287597656,2.90025472640991,-0.0211372245103121,0,0,1.09756859318513,409.015029647787,1.31250538086922
2004,12,412.850738525391,1.12437617778778,-0.298355251550674,0,0,1.04851603569308,410.646363323405,1.28733186578653
2005,3,411.65087890625,4.1251425743103,-0.483546942472458,0,0,0.960103691224471,411.2040176828,1.19983137548423
2005,6,413.809692382812,8.36357116699219,0.85761821269989,0,0,1.08274091711341,412.796414883591,1.29344618802415
2005,9,415.173583984375,10.436427116394,2.91305136680603,0,0,1.12603978626274,414.176662120979,1.3174375057414
2005,12,416.500183105469,1.86361479759216,1.97340452671051,0,0,1.15729886345399,415.696380303274,1.33292402904474
2006,3,417.009460449219,1.54332947731018,0.339700669050217,0,0,1.15063077901997,416.990212653978,1.31132747546564
2006,6,418.30908203125,9.87576675415039,2.12517690658569,0,0,1.16610645760731,418.405044488942,1.30600603759164
